timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:28:52.015100,51,47,0,28,20,4.331944401253844,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:52.018359,51,47,0,23,25,4.29910965535762,3,3,34,16.333333333333332,0,0,49,1,0:00:00.153748,1,0
2021-06-09 06:28:52.792887,51,47,0,28,20,4.331944401253844,3,3,34,16.333333333333332,0,0,49,1,0:00:00.777787,1,0
2021-06-09 06:28:52.894855,51,47,0,25,23,4.290003901500557,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:53.045641,51,47,0,23,25,4.364012480144035,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:53.048669,51,47,0,25,23,4.290003901500557,3,3,34,16.333333333333332,0,0,49,1,0:00:00.153814,1,0
2021-06-09 06:28:53.098183,51,47,0,23,25,4.364012480144035,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052542,1,0
2021-06-09 06:28:53.952417,51,47,0,25,23,4.410375773802864,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:54.005640,51,47,0,25,23,4.410375773802864,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053223,1,0
2021-06-09 06:28:54.107277,51,47,0,24,24,4.326754940342268,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:54.533855,51,47,0,24,24,4.326754940342268,3,3,34,16.333333333333332,0,0,49,1,0:00:00.426578,1,0
2021-06-09 06:28:54.988013,51,47,0,28,20,4.216761989863115,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:28:55.044659,51,47,0,28,20,4.216761989863115,3,3,34,16.333333333333332,0,0,49,1,0:00:00.056646,1,0
2021-06-09 06:28:55.146298,51,47,0,23,25,4.245544951125085,3,3,34,16.333333333333332,0,0,49,1,0,0,0
