"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:14:56.064243,72,56,0,59,10,4.383224182672374,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:56.309755,72,56,0,59,10,4.383224182672374,3,4,29,17.25,0,0,69,1,0:00:00.245512,1,0"
"2021-03-30 01:14:56.330167,72,56,0,61,8,4.123242066967547,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:56.591478,72,56,0,61,8,4.123242066967547,3,4,29,17.25,0,0,69,1,0:00:00.261311,1,0"
"2021-03-30 01:14:56.630009,72,56,0,62,7,4.3367661553397845,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:56.898353,72,56,0,62,7,4.3367661553397845,3,4,29,17.25,0,0,69,1,0:00:00.268344,1,0"
"2021-03-30 01:14:56.939766,180,50,0,153,20,4.801820034474194,7,8,38,21.625,0,0,173,1,0,0,0"
"2021-03-30 01:14:57.145387,180,50,0,153,20,4.801820034474194,7,8,38,21.625,0,0,173,1,0:00:00.205621,1,0"
"2021-03-30 01:14:57.189825,171,55,0,142,22,4.826034387490627,7,8,34,20.5,0,0,164,1,0,0,0"
"2021-03-30 01:14:57.368545,171,55,0,142,22,4.826034387490627,7,8,34,20.5,0,0,164,1,0:00:00.178720,1,0"
"2021-03-30 01:14:57.410707,170,58,0,152,12,4.586484361706343,6,7,35,23.428571428571427,0,0,164,1,0,0,0"
"2021-03-30 01:14:57.604168,170,58,0,152,12,4.586484361706343,6,7,35,23.428571428571427,0,0,164,1,0:00:00.193461,1,0"
"2021-03-30 01:14:57.629568,66,50,0,59,4,4.348736498173076,3,4,26,15.75,0,0,63,1,0,0,0"
"2021-03-30 01:14:57.922288,66,50,0,59,4,4.348736498173076,3,4,26,15.75,0,0,63,1,0:00:00.292720,1,0"
"2021-03-30 01:14:57.954953,72,56,0,58,11,4.047014053625009,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:58.177264,72,56,0,58,11,4.047014053625009,3,4,29,17.25,0,0,69,1,0:00:00.222311,1,0"
"2021-03-30 01:14:58.205450,72,56,0,59,10,4.336366760966804,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:58.537597,72,56,0,59,10,4.336366760966804,3,4,29,17.25,0,0,69,1,0:00:00.332147,1,0"
"2021-03-30 01:14:58.565546,72,56,0,62,7,4.277135337265549,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:58.844062,72,56,0,62,7,4.277135337265549,3,4,29,17.25,0,0,69,1,0:00:00.278516,1,0"
"2021-03-30 01:14:58.877553,72,56,0,58,11,4.1966166676282075,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:59.156770,72,56,0,58,11,4.1966166676282075,3,4,29,17.25,0,0,69,1,0:00:00.279217,1,0"
"2021-03-30 01:14:59.189592,72,56,0,64,5,4.284168924903182,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:59.474944,72,56,0,64,5,4.284168924903182,3,4,29,17.25,0,0,69,1,0:00:00.285352,1,0"
"2021-03-30 01:14:59.517781,72,56,0,60,9,4.289590584980449,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:59.745186,72,56,0,60,9,4.289590584980449,3,4,29,17.25,0,0,69,1,0:00:00.227405,1,0"
"2021-03-30 01:14:59.768341,72,56,0,61,8,4.213065932142575,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:14:59.966403,72,56,0,61,8,4.213065932142575,3,4,29,17.25,0,0,69,1,0:00:00.198062,1,0"
"2021-03-30 01:14:59.986805,72,56,0,61,8,4.365311676554851,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:00.203323,72,56,0,61,8,4.365311676554851,3,4,29,17.25,0,0,69,1,0:00:00.216518,1,0"
"2021-03-30 01:15:00.221588,72,56,0,58,11,4.318755383176419,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:00.586141,72,56,0,58,11,4.318755383176419,3,4,29,17.25,0,0,69,1,0:00:00.364553,1,0"
